J,nj,Estimator,cluster_a,cluster_m,cluster_y,abs.value_mean_|Rel.Bias|,abs.value_min_|Rel.Bias|,abs.value_max_|Rel.Bias|,abs.value_mean_RMSE,abs.value_min_RMSE,abs.value_max_RMSE,A_fit,M_fit,Y_fit,A_mod,M_mod,Y_mod,estimator,abs.value_mean_|Bias|,abs.value_min_|Bias|,abs.value_max_|Bias|
20,20,multiply-robust,SL,SL,FE,0.012651274381445683,2.3032559246805086e-4,0.05125691498074879,0.2763783961353463,0.24055880595966686,0.3064616334585726,aSL,mSL,yFE,aSL,mSL,yCluster,multi,0.017930638540757892,3.7059062332209377e-4,0.06542612270356601
20,20,multiply-robust,SL,SL,RE,0.009974211649964216,4.4430970270321614e-4,0.02297289753434914,0.2746605975410134,0.23706543053410434,0.30668479677282745,aSL,mSL,yRE,aSL,mSL,yCluster,multi,0.015317342671955529,6.942382189117732e-4,0.03542478057797738
20,20,multiply-robust,SL,SL,SL,0.10727816563072787,0.026149237013590492,0.18331049546342484,0.34673762319624585,0.24206640457406853,0.4120366431783386,aSL,mSL,ySL,aSL,mSL,ySL,multi,0.16195693409286574,0.04033615707706829,0.2801719775151523
20,50,multiply-robust,FE,FE,FE,0.02009734261500057,0.0014089328705137712,0.06875536922120094,0.2644849582718667,0.22725170898290167,0.3082564535197019,aFE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.029215329874951585,0.002163725454209671,0.08772212703935993
20,50,multiply-robust,FE,FE,RE,0.01832348994012103,0.0012241761987538745,0.06395948522569375,0.265373658754037,0.23513565009774237,0.2911194053240489,aFE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.026251047489919452,0.001885675438048627,0.08148569335358703
20,50,multiply-robust,FE,FE,SL,0.01986328292657852,0.002669135448383157,0.043018196638825744,0.2724786459759297,0.22861601665132703,0.3280488584205202,aFE,mFE,ySL,aCluster,mCluster,ySL,multi,0.029151061456373938,0.00416388618889328,0.05959179942154942
20,50,multiply-robust,FE,RE,FE,0.020344217840433436,0.0015503463509785281,0.06512322522239346,0.26066065300459207,0.2246747136837656,0.2926040250572289,aFE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.029442495408391348,0.0023839222786618793,0.08312027834053771
20,50,multiply-robust,FE,RE,RE,0.018710342944332263,3.7898035227535662e-6,0.058542754168789034,0.2573113107846005,0.2204676130468801,0.2852455226598716,aFE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.026880230067556417,5.8424226571244415e-6,0.07455584265262201
20,50,multiply-robust,FE,RE,SL,0.019297701369134418,7.2014158652228e-4,0.04841399154601907,0.2749602443347191,0.22741964964823622,0.3308180628755796,aFE,mRE,ySL,aCluster,mCluster,ySL,multi,0.028479389807825304,0.0011523989914078248,0.06167532055476313
20,50,multiply-robust,FE,SL,FE,0.018236269060175444,6.462638854147935e-4,0.06909769799714516,0.26154343236678956,0.2263366589545936,0.2847042917000648,aFE,mSL,yFE,aCluster,mSL,yCluster,multi,0.02597098311411801,0.0010123994528209153,0.08794556668268717
20,50,multiply-robust,FE,SL,RE,0.0185351167476933,3.368936019809244e-4,0.05633787006962851,0.2632348444233285,0.22755182758188597,0.298296840146697,aFE,mSL,yRE,aCluster,mSL,yCluster,multi,0.02700407891518566,5.263665068313501e-4,0.07180680369687763
20,50,multiply-robust,FE,SL,SL,0.015642458221687194,9.132313773383734e-4,0.03901669850577218,0.27351503690090834,0.22425991586720223,0.3208362726296846,aFE,mSL,ySL,aCluster,mSL,ySL,multi,0.023254608436652,0.001470718730711536,0.054741498536940346
20,50,multiply-robust,RE,FE,FE,0.018563083966523574,1.6359599218109113e-4,0.060468128614289594,0.25898911299379157,0.2266815167490642,0.290230096399605,aRE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.026430220649516285,2.557655614096991e-4,0.07712310016927658
20,50,multiply-robust,RE,FE,RE,0.018541909831053263,6.184635258873797e-5,0.0674194923532153,0.2628979727077671,0.23347981624717087,0.3012640542271217,aRE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.02677677925494325,9.6814236875703e-5,0.08603642535743562
20,50,multiply-robust,RE,FE,SL,0.022810945127206408,4.394473431459648e-4,0.0517467034283142,0.27095066125792966,0.2338876538149199,0.307274276886896,aRE,mFE,ySL,aCluster,mCluster,ySL,multi,0.03465615676658085,7.034897279492779e-4,0.07966350654464437
20,50,multiply-robust,RE,RE,FE,0.018854484348303967,7.068785894239377e-4,0.06084674009962563,0.2589002368398816,0.23041913048337306,0.2973529816914381,aRE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.02699865611760959,0.0010913010074323998,0.07771356455174261
20,50,multiply-robust,RE,RE,RE,0.017800828177404113,5.788497579016668e-4,0.055520147503974826,0.25801607863555237,0.22397648611562404,0.29715789653504127,aRE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.02561731407509916,8.920247952112115e-4,0.0706373386887741
20,50,multiply-robust,RE,RE,SL,0.02574683223263966,0.0028575047795192697,0.055878062115664436,0.2690583396049509,0.22777602804749855,0.3167250889274625,aRE,mRE,ySL,aCluster,mCluster,ySL,multi,0.03932979294038732,0.004610475747532433,0.0860215121831223
20,50,multiply-robust,RE,SL,FE,0.01650624593901004,7.668098941771295e-4,0.05786020605576963,0.26343540209735455,0.23126426000119904,0.30208270186241176,aRE,mSL,yFE,aCluster,mSL,yCluster,multi,0.023628434400045913,0.001182399790688494,0.07401437541630693
20,50,multiply-robust,RE,SL,RE,0.01681795043858374,2.975380113455456e-4,0.04974066574513178,0.2602966304505199,0.22418577660469177,0.295278986031576,aRE,mSL,yRE,aCluster,mSL,yCluster,multi,0.024362225055963034,4.591791161812901e-4,0.06346256909475194
20,50,multiply-robust,RE,SL,SL,0.017620431303896227,8.436960737449758e-4,0.044103825309563506,0.2738909412044499,0.23169736279607916,0.3168339658729069,aRE,mSL,ySL,aCluster,mSL,ySL,multi,0.027382560189480935,0.0013053584427150347,0.07057046042415477
20,50,multiply-robust,SL,FE,FE,0.019091247861694628,5.222784723170672e-4,0.06044893665121185,0.2589851156823823,0.23006063242862976,0.3056288950253141,aSL,mFE,yFE,aSL,mCluster,yCluster,multi,0.027479449328326588,8.021442086290219e-4,0.0773252193172002
20,50,multiply-robust,SL,FE,RE,0.01686032420264679,4.991401037134719e-4,0.049084070347685776,0.25682646087510197,0.22450898842514377,0.2850585223648806,aSL,mFE,yRE,aSL,mCluster,yCluster,multi,0.024535803585669137,0.00076949178338896705,0.06256345223188695
20,50,multiply-robust,SL,FE,SL,0.10789237443408908,0.07770843238662635,0.13746487058123902,0.31387021153060246,0.27366684653424345,0.3534232233626622,aSL,mFE,ySL,aSL,mCluster,ySL,multi,0.16485560169991834,0.0991264047705036,0.21090604328175527
20,50,multiply-robust,SL,RE,FE,0.018430266967405334,4.6471488709577615e-4,0.06149715379711428,0.2561345519497033,0.21871548760764828,0.28797031274694135,aSL,mRE,yFE,aSL,mCluster,yCluster,multi,0.02643661222073803,7.204957453957633e-4,0.07844842882680457
20,50,multiply-robust,SL,RE,RE,0.01840918489974609,0.0019934377135618253,0.06052891734200176,0.25971386790938567,0.22347342833849623,0.2921465717772782,aSL,mRE,yRE,aSL,mCluster,yCluster,multi,0.026120390291043908,0.0031890459112979405,0.07706448453083833
20,50,multiply-robust,SL,RE,SL,0.10876148753354446,0.08562146938881282,0.13401077979305032,0.31360084778276903,0.268987440522396,0.3537847030766054,aSL,mRE,ySL,aSL,mCluster,ySL,multi,0.16583036828378878,0.1107950562002152,0.20558314269467845
20,50,multiply-robust,SL,SL,FE,0.012698937860413276,9.07590194799091e-4,0.04349590203168181,0.25462359155249503,0.21454418243202014,0.28913749623504204,aSL,mSL,yFE,aSL,mSL,yCluster,multi,0.018196157767683397,0.0014546494104836054,0.055314536149257174
