num_clust,clust_size,quadratic.A,quadratic.M,quadratic.Y,icc,Yfamily,x_z,cluster_a,cluster_m,cluster_y,Fit,effname,rbias.est_multi,rbias.est_reg,rbias.est_rmpw,bias.est_multi,bias.est_reg,bias.est_rmpw,multi_cover,MSE.est_multi,MSE.est_reg,MSE.est_rmpw,nreps,trueval,sqrtMSE.est_multi,sqrtMSE.est_reg,sqrtMSE.est_rmpw
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IDE(,gmjo(0))",-0.3370706096391616,-0.27124351054043316,0.7127673870755379,-0.09024756726868376,-0.07261647008729946,0.19087696628079084,0.617,0.13083827219449282,0.11089640361321743,0.10441222968975539,1000,0.2677408373435315,0.36171573396037504,0.33275725885867624,0.32312782740304336
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_M1(1,,gm2(0))",-0.5100618104001569,-0.5392372159608723,0.12701832607793198,-0.013281735630518238,-0.014041616680373263,0.0033080203247312766,0.806,0.0018679082834568994,0.0012658156482078396,0.003132406682115142,1000,0.026039462982140084,0.0432193045230589,0.03556280288614467,0.05595593789888626
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_M2(1,gm1(1),)",-0.6553466904022907,-0.652713998081911,-0.2296891838583906,-0.026017639379488044,-0.02589909546939292,-0.009118762354566167,0.644,0.0035937566917253667,0.0023201067017550605,0.004910760894259246,1000,0.039700573391950565,0.05994794985423077,0.04816455283717083,0.07005759145254772
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,IIE_Mdep,-0.9980687015344888,-0.9999999999999999,-0.9804793055528923,-0.005608230515681679,-0.005618288028235639,-0.005515180756768642,0.384,7.665890429108218e-5,3.156534643491753e-5,1.401328465529011e-4,1000,0.0056190826413645275,0.00875550708360642,0.005618288028235639,0.011818517671783326
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_Mjo(1,)",-0.629318384885914,-0.6386351718859218,-0.15869444862060597,-0.04490760552568796,-0.04555900017800182,-0.01132592278660354,0.673,0.006657406962740163,0.005130886190614307,0.007491033601988394,1000,0.07135911901545518,0.0815929345148228,0.0716264612611428,0.08647413386760808
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(0,gmjo(0))",0.06854245720934449,0.05604402909548502,-0.07055003839635991,0.08729983421077314,0.07133558817432606,-0.0899479854154075,0.622,0.09836649636103247,0.08233455671369652,0.0735221808875978,1000,1.2736607026523616,0.31363433543066116,0.28673689104601763,0.2711302436413164
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(0),gm2(0))",0.0017867601402715642,0.0028151076125126945,0.06675648403749136,0.0027441014778814246,0.004320126700526504,0.1026165004162305,0.678,0.08215443259193277,0.08055968120361123,0.08714016492854645,1000,1.535797344048852,0.2866259454270195,0.28380646683136174,0.2951847219245734
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(1),gm2(0))",-0.006746949556572802,-0.006226709244146761,0.06776040708428614,-0.010537634152636829,-0.009721489979846747,0.10592452074096176,0.657,0.08396579495816163,0.08235237072106767,0.08788205049620422,1000,1.561836807030992,0.2897685196120545,0.2869477979283476,0.2964297193324763
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(1),gm2(1))",-0.02282511415529449,-0.02225187270598692,0.06039390638337016,-0.03655527353212496,-0.035620585449239746,0.09680575838639556,0.648,0.08666694645673978,0.0849506150597085,0.08151959497957603,1000,1.6015373804229427,0.2943925040770226,0.2914461575839454,0.2854712764189265
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gmjo(0))",-0.0019123719429516544,-8.305899683755513e-4,0.06541995170851121,-0.00294773305791062,-0.0012808819129735253,0.10092898086538339,0.675,0.08195620781784838,0.08054262677946514,0.08660271567510916,1000,1.5414015399958931,0.2862799465869874,0.2837765658485156,0.2942750265384838
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gmjo(1))",-0.029672932754284086,-0.029056867080603375,0.055511237904766975,-0.047855338583598625,-0.04683988209097531,0.08960305807877976,0.648,0.08744042398545923,0.08587576145037228,0.07998857928160377,1000,1.6127606590113484,0.2957032701636207,0.2930293586054377,0.28278295121627656
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"IDE(,gmjo(0))",-0.14936281296407555,0.07890200861181032,0.7127673870755379,-0.040000428823715684,0.021130029575791773,0.19087696628079084,0.675,0.10191986284736622,0.10375388753531044,0.10441222968975539,1000,0.26780714710653253,0.31924890422265545,0.3217350734969774,0.32312782740304336
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"IIE_M1(1,,gm2(0))",-0.42607215327508474,-0.285862951716497,0.12701832607793198,-0.01109549719016718,-0.0074434944502653234,0.0033080203247312766,0.841,0.002134640368857006,0.0013935733773633979,0.003132406682115142,1000,0.026041357326170057,0.046202168443234416,0.037321879219431316,0.05595593789888626
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"IIE_M2(1,gm1(1),)",-0.6271272662359616,-0.5396866291641195,-0.2296891838583906,-0.024897246940108083,-0.0214176719872795,-0.009118762354566167,0.705,0.003407445673979563,0.002546085109318606,0.004910760894259246,1000,0.03970046955467616,0.05837333016009591,0.050441800804265274,0.07005759145254772
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,IIE_Mdep,-1.0353357086523767,-0.9999999999999999,-0.9804793055528923,-0.005821679823545384,-0.005620690245254092,-0.005515180756768642,0.426,9.658057858544664e-5,3.1592169915302896e-5,1.401328465529011e-4,1000,0.005622987572912996,0.009827541838397161,0.005620690245254092,0.011818517671783326
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"IIE_Mjo(1,)",-0.5859249305680502,-0.4833128192953941,-0.15869444862060597,-0.04181442395382066,-0.03448185668279892,-0.01132592278660354,0.747,0.006431935461779686,0.004882416785589296,0.007491033601988394,1000,0.07136481445375922,0.08019934826281125,0.06984689481712276,0.08647413386760808
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(0,gmjo(0))",0.04096752952721563,0.015123045590598959,-0.07055003839635991,0.05222248776707278,0.019266318430798922,-0.0899479854154075,0.673,0.07587398338078827,0.07683226299575492,0.0735221808875978,1000,1.2747287515196695,0.2754523250596885,0.2769732765151751,0.2711302436413164
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(1,gm1(0),gm2(0))",0.011517038705733399,0.029943275632486655,0.06675648403749136,0.01770083820382628,0.046002365880603115,0.1026165004162305,0.675,0.07482490401634478,0.07557889263706662,0.08714016492854645,1000,1.5369261713963387,0.2735414118855585,0.27477139316515037,0.2951847219245734
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(1,gm1(1),gm2(0))",0.004226153705866071,0.024680079723904406,0.06776040708428614,0.006605341013658966,0.03855887143033783,0.10592452074096176,0.66,0.0760448854990275,0.0767693885244054,0.08788205049620422,1000,1.5629675287225089,0.27576237143422505,0.27691170828596695,0.2964297193324763
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(1,gm1(1),gm2(1))",-0.011413409356218658,0.010700775574219397,0.06039390638337016,-0.018291905926449054,0.017141199443058266,0.09680575838639556,0.651,0.07638939435802315,0.07684923648172716,0.08151959497957603,1000,1.602667998277185,0.2763863136228405,0.2770269615305268,0.2854712764189265
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(1,gmjo(0))",0.007923354622892275,0.026198846063537232,0.06541995170851121,0.012222058943357206,0.0403963480065907,0.10092898086538339,0.674,0.07473363365566087,0.07509452998080302,0.08660271567510916,1000,1.5425358986262019,0.2733745300053772,0.27388583724933263,0.2942750265384838
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,RE,glm,"Y(1,gmjo(1))",-0.018335926597361486,0.0036676187631605977,0.055511237904766975,-0.029592365010463532,0.005914491323791678,0.08960305807877976,0.646,0.07689577110518084,0.07659035505580013,0.07998857928160377,1000,1.6139007130799612,0.27730086748003663,0.27655288141901796,0.28278295121627656
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"IDE(,gmjo(0))",0.20038357863559939,1.0340274384909773,0.7127673870755379,0.05367083735035773,0.276942717354542,0.19087696628079084,0.718,0.16885008297602283,0.2339016289456781,0.10441222968975539,1000,0.2678404972892463,0.41091371719136227,0.4834662840193524,0.32312782740304336
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"IIE_M1(1,,gm2(0))",-0.5375474666475427,0.29339207198053724,0.12701832607793198,-0.014002148549121263,0.007638926944043844,0.0033080203247312766,0.925,0.0031416199935423005,0.002940375856858481,0.003132406682115142,1000,0.02604820861020287,0.056050156052791685,0.054151770276426515,0.05595593789888626
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"IIE_M2(1,gm1(1),)",-0.7151065700545536,-0.07219754773137851,-0.2296891838583906,-0.02838997158413376,-0.0028661771215788895,-0.009118762354566167,0.867,0.005112878447814546,0.004998370079189732,0.004910760894259246,1000,0.039700336667257814,0.07150439460490905,0.07066956866649107,0.07005759145254772
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,IIE_Mdep,-0.9821510862277815,-0.9999999999999998,-0.9804793055528923,-0.005532607147437953,-0.005624401996537451,-0.005515180756768642,0.508,1.110620920681525e-4,3.1633975300752825e-5,1.401328465529011e-4,1000,0.005633152806140485,0.01053860010002052,0.005624401996537452,0.011818517671783326
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"IIE_Mjo(1,)",-0.6713867639372246,-0.011934407934869478,-0.15869444862060597,-0.04792472728069298,-8.516521740725049e-4,-0.01132592278660354,0.867,0.009512011152095826,0.008617001779351352,0.007491033601988394,1000,0.07138169808360117,0.09752953989482277,0.09279635237013305,0.08647413386760808
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(0,gmjo(0))",0.007494280617127385,-0.09602926263408773,-0.07055003839635991,0.00956623320089763,-0.12252137790865267,-0.0899479854154075,0.68,0.09927081918898056,0.10325078728900325,0.0735221808875978,1000,1.2764711771047133,0.3150727204773218,0.3212823092808851,0.2711302436413164
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(1,gm1(0),gm2(0))",0.045579226945283075,0.10405024746849371,0.06675648403749136,0.07013254970424922,0.16003285554131144,0.1026165004162305,0.714,0.09587119499482463,0.10743600698959918,0.08714016492854645,1000,1.5386954629230964,0.3096307397446588,0.32769645282416976,0.2951847219245734
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(1,gm1(1),gm2(0))",0.03587194642565684,0.10720209592657307,0.06776040708428614,0.05613040115512808,0.16767178248535533,0.10592452074096176,0.701,0.09632239833082579,0.11143850878631999,0.08788205049620422,1000,1.5647436715332992,0.3103584996916079,0.3337499218306657,0.2964297193324763
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(1,gm1(1),gm2(1))",0.01728974612339768,0.10276135139966627,0.06039390638337016,0.02774042957099422,0.16480560536377636,0.09680575838639556,0.683,0.09595659289472022,0.11144919491454579,0.08151959497957603,1000,1.604444008200557,0.309768611861693,0.3337870075796236,0.2854712764189265
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(1,gmjo(0))",0.040948386002502855,0.10003677947394207,0.06541995170851121,0.06323707055125537,0.15442133944588932,0.10092898086538339,0.718,0.09485469254432918,0.10567147529451063,0.08660271567510916,1000,1.5443116743939596,0.3079848901234104,0.32499365432254407,0.2942750265384838
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,noncluster,glm,"Y(1,gmjo(1))",0.009477258204681366,0.09508924948100099,0.055511237904766975,0.015312343270562266,0.15356968727181677,0.08960305807877976,0.681,0.09478577131621463,0.10787202019310431,0.07998857928160377,1000,1.6156933724775608,0.3078729791914429,0.32838639626043786,0.28278295121627656
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"IDE(,gmjo(0))",-0.23549827563090256,-0.25530218790760395,0.3523473902388263,-0.06308309397539782,-0.06836550528150083,0.09436488679660805,0.649,0.11879899648769748,0.10835163533155794,0.07990411682855467,1000,0.26787072561952946,0.344672303046963,0.3291589613498768,0.2826335470725159
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"IIE_M1(1,,gm2(0))",-0.39728500392171495,0.037006448215219166,1.8192594500573736,-0.010355488002910637,9.650648410513336e-4,0.04738449800908624,0.888,0.002455301177352273,0.0027272097004572876,0.008805647838183437,1000,0.026065640285157062,0.04955099572513425,0.05221677881653254,0.09379338192691589
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"IIE_M2(1,gm1(1),)",-0.7450632814523032,-0.3700418486124632,0.8899982905050745,-0.029572464299378372,-0.014687593406888967,0.03530903221579869,0.739,0.0036455092367718572,0.00338104718315217,0.01076670785149325,1000,0.03969121151928827,0.06037805260831006,0.05812488705538046,0.1037587169230395
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,IIE_Mdep,-0.9887567766752289,-1.0000000000000002,-1.6021946863993226,-0.00554498730933476,-0.005602891220781151,-0.008993994811138582,0.538,1.0416501932653807e-4,3.139243110443795e-5,2.8766701804413413e-4,1000,0.005608039752688431,0.010206126558422547,0.005602891220781151,0.016900388176888617
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"IIE_Mjo(1,)",-0.6371892203495995,-0.27080944513832717,1.0331909051493935,-0.045472939611623776,-0.01932541978661878,0.07369953541374634,0.77,0.007390414939979008,0.007385081787011885,0.01977438727830975,1000,0.07136489155713377,0.08596752258835315,0.08592708912485143,0.14053814294763367
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"Y(0,gmjo(0))",0.045659513763204006,0.041842197031843255,-0.06721569128943787,0.058242259416766494,0.053309825223206465,-0.085682417926867,0.649,0.08370890014965283,0.08657764313296966,0.07439355832934813,1000,1.2755777409023272,0.2893249041296875,0.2940564506162031,0.2727443235349031
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"Y(1,gm1(0),gm2(0))",4.191622292924294e-4,-0.006162786321682995,0.004481786230847868,6.446099481224822e-4,-0.009465207236848253,0.006882533569357011,0.687,0.07497315948951257,0.07275620216337358,0.07711101236055455,1000,1.537853134359512,0.27381227052400803,0.2696311999932563,0.2776521757631964
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"Y(1,gm1(1),gm2(0))",-0.006209323791124861,-0.005442583091562382,0.03472233355376618,-0.009710878054787984,-0.008500142395796847,0.05426703157844335,0.67,0.076277314152935,0.07628635707788455,0.07792743981901243,1000,1.563918774644669,0.27618347914554014,0.2761226504847014,0.2790817257549914
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,RE,FE,glm,"Y(1,gm1(1),gm2(1))",-0.02449681823704365,-0.014474816560340222,0.05589436986627109,-0.03928334235416654,-0.02318773580268582,0.08957606379424196,0.627,0.07890581333159177,0.079908936738554745,0.0759652258834081,1000,1.6036099861639574,0.2809017859174124,0.28263298131145814,0.27554004431483203
