num_clust,clust_size,quadratic.A,quadratic.M,quadratic.Y,icc,Yfamily,x_z,cluster_a,cluster_m,cluster_y,Fit,effname,rbias.est_multi,rbias.est_reg,rbias.est_rmpw,bias.est_multi,bias.est_reg,bias.est_rmpw,multi_cover,MSE.est_multi,MSE.est_reg,MSE.est_rmpw,nreps,trueval,sqrtMSE.est_multi,sqrtMSE.est_reg,sqrtMSE.est_rmpw
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IDE(,gmjo(0))",-0.3370706096391616,-0.3196436464386514,0.6908327618591042,-0.09024756726868376,-0.08558165754902425,0.18496414212450105,0.617,0.13083827219449282,0.1196631395903305,0.10417616282986214,1000,0.2677408373435315,0.36171573396037504,0.34592360369065667,0.32276332324144597
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_M1(1,,gm2(0))",-0.5100618104001569,-0.5849510294538806,0.1691419695610614,-0.013281735630518238,-0.015231810677829055,0.004404366055111524,0.806,0.0018679082834568994,0.0011695263876914264,0.0031139367284368467,1000,0.026039462982140084,0.0432193045230589,0.03419833896099965,0.05580265879361705
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_M2(1,gm1(1),)",-0.6553466904022907,-0.6499673972074115,-0.1834546079306082,-0.026017639379488044,-0.025804078355207923,-0.007283253126240628,0.644,0.0035937566917253667,0.0022755146276062115,0.0049305031916719606,1000,0.039700573391950565,0.05994794985423077,0.04770235452895603,0.07021754190850005
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,IIE_Mdep,-0.9980687015344888,-1,-0.9887473818742653,-0.005608230515681679,-0.005619082641364528,-0.005555853250184308,0.384,7.665890429108218e-5,3.1574089730484164e-5,1.2161043379395861e-4,1000,0.0056190826413645275,0.00875550708360642,0.005619082641364528,0.011027712083381512
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"IIE_Mjo(1,)",-0.629318384885914,-0.6538053204426029,-0.11820129561137926,-0.04490760552568796,-0.0466549716744015,-0.008434740321313411,0.673,0.006657406962740163,0.005032246203393676,0.007775863063429221,1000,0.07135911901545518,0.0815929345148228,0.07093832675919046,0.08818085429065213
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(0,gmjo(0))",0.06854245720934449,0.06663933453323913,-0.06802495294821786,0.08729983421077314,0.08487590164589114,-0.086640709369921,0.622,0.09836649636103247,0.08972299866735575,0.0747794397731579,1000,1.2736607026523616,0.31363433543066116,0.29953797533427334,0.2734582962229486
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(0),gm2(0))",0.0017867601402715642,0.0031895093860458425,0.06537007907690763,0.0027441014778814246,0.004898440043908088,0.10039519382657816,0.678,0.08215443259193277,0.07794364083998889,0.08894311837607335,1000,1.535797344048852,0.2866259454270195,0.27918388356061835,0.2982333287479341
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(1),gm2(0))",-0.006746949556572802,-0.0066161653941069765,0.06710019856742312,-0.010537634152636829,-0.010333370633920988,0.10479955988168967,0.657,0.08396579495816163,0.07950541534157655,0.09051748231903221,1000,1.561836807030992,0.2897685196120545,0.2819670465525653,0.3008612343241186
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gm1(1),gm2(1))",-0.02282511415529449,-0.02256422449508211,0.06088918557098949,-0.03655527353212496,-0.036137448989129003,0.09751630675544895,0.648,0.08666694645673978,0.08241544771693116,0.08555637893172809,1000,1.6015373804229427,0.2943925040770226,0.2870809079631231,0.29250022039603335
20,10,FALSE,FALSE,FALSE,0.2,gaussian,0,FE,FE,FE,glm,"Y(1,gmjo(0))",-0.0019123719429516544,-4.578663539774313e-4,0.06378833172493263,-0.00294773305791062,-7.057559031331144e-4,0.09832343275458004,0.675,0.08195620781784838,0.07792014421651994,0.08808775404510176,1000,1.5414015399958931,0.2862799465869874,0.279141799479261,0.2967958120410424
